0,#,Название,Название (англ.),Цена,Вес,Урон,Длина,Доступность,Тип предмета,Качества,Руны,Источник
0,,,,,,,КомпактноеОчень короткоеКороткоеСреднееДлинноеОчень длинноеГромадноеРазная,РаспространённыйРедкийРаритетныйЭкзотический-,ОсновноеКавалерийскоеФехтовальноеКулачноеЦепыПарирующееДревковоеДвуручноеИнженерное,БронебойноеБыстроеВарп-каменьВзрывГрозноеЗалпЗащитноеЗзап!МеткоеМечеломМногозарядноеОбездвиживающееОгибающееОттесняющееОшеломляющееПаукорожденныйПистолетПодсекающееПороховоеПронзающееРазбросРазрубающееРассекающееСокрушающееТочноеЩитГромоздкийНекрасивыйНеудобныйХлипкийКрасивыйНеразрушимоеОблегчённыйПрактичныйПрочныйМассивноеМедленноеНесбалансированноеНеточноеОпасноеПерезарядкаРасчётЩадящее,ОбидыРассеченияУдара,Архивы империи - Том 1Архивы империи - Том 2Во всеоружииВраг внутренний: Рогатая Крыса (Дополнительные материалы)Гномы. Руководство игрокаДомашнее правилоКнига правилМидденхайм - Город Белого ВолкаПокровители Старого Света IIСтартовый набор
31,1,(2Р) Алебарда,Halberd,2 КР 0/0,3,+РС+4,Длинное,Распространённый,Древковое,"Защитное,ПронзающееилиРазрубающее",,Во всеоружии
404,2,(2Р) Альшпис,Ahlspiess,2 КР 0/0,2,+РС+3,Очень длинное,Редкий,Древковое,"Бронебойное,Пронзающее",,Во всеоружии
311,3,Бабулин тесак,Nan's Cleaver,1 КР 0/0,1,+РС+3,Среднее,Распространённый,Основное,Разрубающее,,Архивы империи - Том 1
386,4,Баллок,Ballock Knife,0 КР 16/0,0,+РС+1,Очень короткое,Редкий,Основное,"Бронебойное,Пронзающее,Точное",,Во всеоружии
24,5,Безоружная атака,Unarmed,0 КР 0/0,0,+РС+0,Компактное,-,Кулачное,Щадящее,,Во всеоружии
405,6,(2Р) Билль,Bill,2 КР 0/0,3,+РС+4,Длинное,Редкий,Древковое,"Защитное,ПодсекающееилиРазрубающее",,Во всеоружии
389,7,Боевая кирка,Military Pick,0 КР 15/0,1,+РС+4,Среднее,Редкий,Основное,"Бронебойное,Несбалансированное",,Во всеоружии
305,8,Боевой клинок эонир,Eonir War Blade,3 КР 0/0,0,+РС+3,Среднее,Редкий,Основное,Точное,,Архивы империи - Том 1
35,9,(2Р) Боевой молот,Warhammer,3 КР 0/0,3,+РС+6,Среднее,Распространённый,Двуручное,"Грозное,Медленное,Ошеломляющее",,Во всеоружии
406,10,(2Р) Боевой ухват,Mancatcher,2 КР 0/0,3,+РС+2,Длинное,Раритетный,Древковое,"Защитное,Обездвиживающее",,Во всеоружии
