0,#,Название,Название (англ.),Цена,Вес,Урон,Дальнобойность,Доступность,Тип предмета,Качества,Руны,Источник
0,,,,,,,,РаспространённыйРедкийРаритетныйЭкзотический-,АрбалетыВзрывчаткаИнженерноеЛовчееЛукиМетательноеПороховоеПращи,БронебойноеБыстроеВарп-каменьВзрывГрозноеЗалпЗащитноеЗзап!МеткоеМечеломМногозарядноеОбездвиживающееОгибающееОттесняющееОшеломляющееПаукорожденныйПистолетПодсекающееПороховоеПронзающееРазбросРазрубающееРассекающееСокрушающееТочноеЩитГромоздкийНекрасивыйНеудобныйХлипкийКрасивыйНеразрушимоеОблегчённыйПрактичныйПрочныйМассивноеМедленноеНесбалансированноеНеточноеОпасноеПерезарядкаРасчётЩадящее,ОбидыРассеченияУдара,Архивы империи - Том 1Архивы империи - Том 2Во всеоружииГномы. Руководство игрокаДомашнее правилоКнига правил
41,1,(2Р) Арбалет,Crossbow,5 КР 0/0,2,+9,60,Распространённый,Арбалеты,Перезарядка (1),,Книга правил
425,2,(2Р) Аркебуза,Arquebus,5 КР 0/0,3,+9,40,Экзотический,Пороховое,"Грозное,Неточное,Опасное,Перезарядка (5),Пороховое",,Во всеоружии
54,3,Болас,Bolas,0 КР 10/0,0,+РС+0,РС×3,Раритетный,Метательное,Обездвиживающее,,Книга правил
552,4,Большое метательное копье,Great Throwing Spear,6 КР 0/0,2,+РС+4,РС×3,Редкий,Метательное,Пронзающее,,Архивы империи - Том 2
43,5,Бомба,Bomb,3 КР 0/0,0,+12,РС,Раритетный,Взрывчатка,"Взрыв (5),Опасное,Сокрушающее",,Книга правил
344,6,(2Р) Ворошитель обид,Grudge-raker,15 КР 0/0,2,+9,30,Экзотический,Инженерное,"Грозное,Залп (2),Опасное,Перезарядка (3),Пороховое,Разброс (3)",,Гномы. Руководство игрока
555,7,Гарпунная пусковая установка,Harpoon Launcher,8 КР 0/0,5,+10,20,Экзотический,Ловчее,"Обездвиживающее,Перезарядка (2)",,Архивы империи - Том 2
338,8,(2Р) Гномий арбалет,Dwarf Crossbow,5 КР 0/0,2,+9,80,Распространённый,Арбалеты,"Грозное,Перезарядка (1),Точное",,Гномы. Руководство игрока
315,9,(2Р) Гномий арбалет (неактуально),Dwarf Crossbow,9 КР 0/0,3,+9,80,Раритетный,Арбалеты,"Грозное,Перезарядка (2),Точное",,Архивы империи - Том 1
347,10,Гномий метательный топорик,Dwarf Throwing Axe,1 КР 0/0,1,+РС+4,РС×2,Распространённый,Метательное,Разрубающее,,Гномы. Руководство игрока
337,11,Гномий пистолет,Dwarf Pistol,12 КР 0/0,0,+9,20,Раритетный,Пороховое,"Грозное,Перезарядка (1),Пистолет,Пороховое",,Гномы. Руководство игрока
314,12,Гномий пистолет (неактуально),Dwarf Pistol,18 КР 0/0,1,+8,30,Раритетный,Пороховое,"Бронебойное,Грозное,Перезарядка (1),Пистолет,Пороховое",,Архивы империи - Том 1
343,13,(2Р) Гномье многозарядное ружьё,Repeating Dwarf Handgun,10 КР 0/0,3,+9,50,Экзотический,Инженерное,"Грозное,Многозарядное (3),Опасное,Перезарядка (4),Пороховое",,Гномы. Руководство игрока
336,14,(2Р) Гномье ружьё,Dwarf Handgun,6 КР 0/0,2,+9,50,Редкий,Пороховое,"Грозное,Перезарядка (3),Пороховое",,Гномы. Руководство игрока
313,15,(2Р) Гномье ружьё (неактуально),Dwarf Handgun,9 КР 0/0,2,+8,30,Раритетный,Пороховое,"Бронебойное,Грозное,Перезарядка (3),Пороховое",,Архивы империи - Том 1
426,16,(2Р) Двуствольное ружье,Double-barrelled Handgun,7 КР 0/0,3,+9,50,Экзотический,Пороховое,"Грозное,Многозарядное (2),Опасное,Перезарядка (4),Пороховое",,Во всеоружии
50,17,(2Р) Длинный лук,Longbow,5 КР 0/0,3,+РС+4,100,Редкий,Луки,Грозное,,Книга правил
339,18,Драконье ружьё,Drakegun,20 КР 0/0,3,+12,30,Раритетный,Инженерное,"Грозное,Опасное,Перезарядка (4),Пороховое",,Гномы. Руководство игрока
