0,#,Название,Название (англ.),Школа магии,Порог сотворения,Источник
0,,,,Ведьмовская магия (Школа Ведьмовства)Ведьмовская магия (Школа Знахарства)Заклинания большого Вааагх!Магия малого Вааагх!Магия Хаоса (Школа Нургла)Магия Хаоса (Школа Слаанеша)Магия Хаоса (Школа Тзинча)Общие заклинанияПростейшие заклинанияТемная магия (Школа Демонологии)Темная магия (Школа Некромантии)Цветная магия (Школа Жизни)Цветная магия (Школа Зверей)Цветная магия (Школа Металла)Цветная магия (Школа Небес)Цветная магия (Школа Огня)Цветная магия (Школа Света)Цветная магия (Школа Смерти)Цветная магия (Школа Теней)Школа Великой Пасти,,Архивы империи - Том 2Ветры магииЗаклинания непревзойденной полезности СулласарыКнига правилКровь и ежевикаМидденхайм - Город Белого ВолкаМоре КогтейПлемена и бедствияПриключения в Убершрейке II: Благословение кровиПриключения в Убершрейке II: Смертоносная посылкаСтартовый набор
176,1,Альманах,Almanac,Цветная магия (Школа Жизни),4,Ветры магии
280,2,Амарант,Amaranth,Цветная магия (Школа Смерти),7,Ветры магии
177,3,Апофеоз жизни,Verdant Apotheosis,Цветная магия (Школа Жизни),16,Ветры магии
159,4,Багряные мечи,Sanguine Swords,Цветная магия (Школа Огня),6,Ветры магии
223,5,Безупречное понимание,Perfect Comprehension,Цветная магия (Школа Света),5,Ветры магии
319,6,Безымянный призыв,Nameless Summons,Ведьмовская магия (Школа Ведьмовства),10,Кровь и ежевика
329,7,Бесконечное пламя,Ceaseless Flame,Цветная магия (Школа Огня),2,Заклинания непревзойденной полезности Сулласары
89,8,Бич демонов,Daemonbane,Цветная магия (Школа Света),10,Книга правил
140,9,Благословение Бел Шанаара,Blessings of Bel Shanaar,Цветная магия (Школа Небес),2,Море Когтей
136,10,Благословение грязью,Bless with Flith,Магия Хаоса (Школа Нургла),6,Мидденхайм - Город Белого Волка
65,11,Блистающая мантия,Glittering Robe,Цветная магия (Школа Металла),5,Книга правил
207,12,Блуждающая тень,Wandering Shadow,Цветная магия (Школа Теней),4,Ветры магии
371,13,Бодание,‘Eadbutt,Заклинания большого Вааагх!,6,Племена и бедствия
178,14,Бодрящий напев,Invigorating Chant,Цветная магия (Школа Жизни),6,Ветры магии
192,15,Брызги мускуса,Musk Spray,Цветная магия (Школа Зверей),2,Ветры магии
224,16,Буйство времени,Time Amok,Цветная магия (Школа Света),11,Ветры магии
346,17,Быкоед,Bullgorger,Школа Великой Пасти,5,Архивы империи - Том 2
97,18,Быстрая смерть,Swift Passing,Цветная магия (Школа Смерти),6,Книга правил
193,19,Бычья стойкость,The Ox Stands,Цветная магия (Школа Зверей),5,Ветры магии
379,20,ВАААГХ!,WAAAGH!,Заклинания большого Вааагх!,12,Племена и бедствия
361,21,Великая зелёная пакость,The Great Green Spite,Магия малого Вааагх!,20,Племена и бедствия
208,22,Великая иллюзия,Grand Illusion,Цветная магия (Школа Теней),14,Ветры магии
350,23,Великая пасть,The Maw,Школа Великой Пасти,11,Архивы империи - Том 2
81,24,Великое пламя У'Зула,Great Fires of U’Zhul,Цветная магия (Школа Огня),10,Книга правил
135,25,Вероломство Тзинча,Treason of Tzeentch,Магия Хаоса (Школа Тзинча),6,Книга правил
73,26,Ветреная удача,Fate’s Fickle Fingers,Цветная магия (Школа Небес),6,Книга правил
376,27,Взгляд Морка,Gaze of Mork,Заклинания большого Вааагх!,5,Племена и бедствия
119,28,Взгляд сквозь Межу,Part the Branches,Ведьмовская магия (Школа Знахарства),0,Книга правил
325,29,Взгляд Смерти,Deathsight,Цветная магия (Школа Смерти),2,Заклинания непревзойденной полезности Сулласары
194,30,Взгляд стаи,Eyes of the Pack,Цветная магия (Школа Зверей),3,Ветры магии
26,31,Взрыв,Blast,Общие заклинания,4,Книга правил
195,32,Взять след,Follow Scent,Цветная магия (Школа Зверей),4,Ветры магии
179,33,Винтовая лестница,Spiral Stair,Цветная магия (Школа Жизни),6,Ветры магии
98,34,Вихрь душ,Soul Vortex,Цветная магия (Школа Смерти),8,Книга правил
160,35,Вкус пламени,Taste of Fire,Цветная магия (Школа Огня),2,Ветры магии
348,36,Вкус смерти,Taste Death,Школа Великой Пасти,2,Архивы империи - Том 2
240,37,Вкус смерти,Taste of Death,Цветная магия (Школа Смерти),7,Ветры магии
57,38,Владыка зверей,Beast Master,Цветная магия (Школа Зверей),10,Книга правил
138,39,"Вода, вода вокруг",Water Water Everywhere,Цветная магия (Школа Жизни),6,Море Когтей
139,40,Водоворот,Whirlpool,Цветная магия (Школа Жизни),6,Море Когтей
