0,#,Название,Название (англ.),Максимум,Источник
0,,,,123НетРББРВРДБРИРИнтРИнт + РСВРЛРПрРСРСВРХ,Архивы империи - Том 1Архивы империи - Том 2Гномы. Руководство игрокаКнига правилМоре КогтейНеспокойные ночи и трудные дниПриключения в Убершрейке I: Стеклянное сердце
1,1,Magnum Opus,Magnum Opus,Нет,Книга правил
2,2,Абсолютный слух,Perfect Pitch,РИ,Книга правил
3,3,Альтер эго,Secret Identity,РИнт,Книга правил
4,4,Амбидекстр,Ambidextrous,2,Книга правил
5,5,Аура величия,Commanding Presence,РХ,Книга правил
6,6,Батман,Beat Blade,РББ,Книга правил
7,7,Башня памяти,Tower of Memories,РИнт,Книга правил
8,8,Бдительность,Combat Aware,РИ,Книга правил
9,9,Бегун,Sprinter,РС,Книга правил
10,10,Безжалостный удар,Strike to Injure,РИ,Книга правил
11,11,Безупречная дикция,Instinctive Diction,РИ,Книга правил
12,12,Бесстрашие (враг),Fearless (Enemy),РСВ,Книга правил
13,13,Благородная кровь,Noble Blood,1,Книга правил
14,14,Благословение (божество),Bless (Divine Lore),1,Книга правил
15,15,Богач,Wealthy,Нет,Книга правил
16,16,Боевая ярость,Battle Rage,РСВ,Книга правил
17,17,Боевой маг,War Wizard,1,Книга правил
18,18,Божественное вмешательство (божество),Invoke (Divine Lore),1,Книга правил
19,19,Большая шишка,Kingpin,1,Книга правил
194,20,Большой,Large,1,Архивы империи - Том 2
20,21,Бродячий кот,Alley Cat,РИ,Книга правил
21,22,Бугай,Sturdy,РС,Книга правил
22,23,Бывалый воин,Combat Master,РПр,Книга правил
23,24,Бывалый путешественник (местность),Seasoned Traveller,РИнт,Книга правил
24,25,Быстрая перезарядка,Rapid Reload,РЛ,Книга правил
25,26,Быстрая реакция,Combat Reflexes,РИ,Книга правил
26,27,Быстрые ноги,Fleet Footed,1,Книга правил
27,28,Быстрые руки,Fast Hands,РЛ,Книга правил
28,29,Быстрый выстрел,Fast Shot,РПр,Книга правил
29,30,Ведьма,Witch!,РСВ,Книга правил
30,31,Верный выстрел,Sure Shot,РИ,Книга правил
31,32,Взлом с проникновением,Break and Enter,РС,Книга правил
32,33,Взяткодатель,Briber,РХ,Книга правил
33,34,Видения свыше,Holy Visions,РИ,Книга правил
34,35,Витийство,Cat-tongued,РХ,Книга правил
193,36,Вихрь смерти,Whirlwind of Death,1,Гномы. Руководство игрока
35,37,Воодушевление,Inspiring,РХ,Книга правил
36,38,Второе зрение,Second Sight,РИ,Книга правил
37,39,Выверенное попадание,Careful Strike,РИ,Книга правил
38,40,Выездка,Roughrider,РПр,Книга правил
182,41,Гарпунщик,Harpooner,РДБ,Гномы. Руководство игрока
184,42,Горючая крепость,Liquid Fortification,РВ,Гномы. Руководство игрока
39,43,Грамотность,Read/Write,1,Книга правил
